id;x;y;z;zoneid;zonename;ap1;ap2;ap3;ap4;ap5;ap6;ap7;ap8;ap9;ap10;ap11;ap12;ap13;ap14;ap15;ap16;ap17;ap18;ap19;ap20;ap21;ap22;ap23;ap24;ap25;ap26;ap27;ap28;ap29;ap30;ap31;ap32
7693e9a2-a557-4ba4-bc5c-0555c7cc026d;29.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-76.0;;-76.0;;;-84.0;-75.0;-68.0;;;-75.0;;;;-81.0;;-90.0;-76.0;-66.0;-79.0;-79.0;;;;;;-72.0;-89.0;;;
d9ec11c6-cce5-4b24-aee1-2a57bfa8641a;7.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-74.0;;;;;-89.0;;;;-71.0;-68.0;;;;-71.0;-56.0;-57.0;;;-82.0;-81.0;;;;;-67.0;;;;;
4046b713-4cf6-4aff-bf5e-87613f787d49;8.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-61.0;;;;;-83.0;;-89.0;;-69.0;-60.0;;;;-60.0;-63.0;-64.0;-77.0;-77.0;-65.0;-65.0;;;;;-68.0;-87.0;;;;
58ffa7b9-060a-4a72-b4f2-a12fb6240f92;11.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-64.0;;;;;;;;;-81.0;-63.0;;;;-59.0;-74.0;-73.0;;;-65.0;-65.0;;;;;-71.0;;;;;
503a85f2-bc52-4882-ab86-4177f6ebafcc;20.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-77.0;;-82.0;;;-68.0;;-82.0;;;-83.0;;;;-88.0;;;-84.0;-82.0;-79.0;-79.0;;;;;-83.0;-80.0;-70.0;;;
1eed1c82-6a69-498a-ad17-e4f2177edaf8;6.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-75.0;;;;;-91.0;;;;-74.0;-69.0;;;;-68.0;-60.0;-61.0;;;-81.0;-81.0;;;;;-60.0;;;;;
4eccd58d-7b47-4058-8dc4-2fa4ba453fc3;27.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-71.0;;;;;;;-74.0;;;;;;;;;;-67.0;-68.0;-88.0;-86.0;;;;;;;;;;
c7a49f3b-d3e8-42a3-abf0-81f1caa6b9cc;3.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-74.0;;;;;;;;;-73.0;-71.0;;;;-72.0;-65.0;-66.0;-84.0;;-79.0;-79.0;;;;;-68.0;;;;;
4e9a3b83-9005-4a63-bf47-c33aacd19e77;10.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-87.0;;;;;-88.0;;;;-87.0;-70.0;;;;-75.0;-78.0;-78.0;;;-80.0;-79.0;;;;;-85.0;;-90.0;;;
e6bd6853-e137-4478-aac4-ec26681d5365;22.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-60.0;;-70.0;;;-84.0;-88.0;-82.0;;;-70.0;;;;;;;-74.0;-79.0;-82.0;-83.0;;;;;-91.0;;-77.0;;;
2eb17c13-f39f-440c-a2af-21f5d01f1d27;2.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-75.0;;;;;;;;;-80.0;-70.0;;;;-69.0;-66.0;-65.0;;-79.0;-80.0;-81.0;;;;;-72.0;-88.0;;;;
c66a3638-cadd-44b8-b516-9a420302da1d;4.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-75.0;;;;;-86.0;;-86.0;-89.0;-81.0;-82.0;;;;-78.0;-74.0;-73.0;-87.0;-75.0;-80.0;-85.0;;;;;-77.0;;;;;
bbbb7ad1-2a93-41ec-a124-d347db61f44c;26.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-77.0;;-65.0;;;-80.0;;-83.0;;;-78.0;;;;-85.0;-78.0;-89.0;-77.0;-78.0;;;;;;;-81.0;;-85.0;;;
4cd96d0b-7fc0-4cbd-9d63-cb707c63e417;4.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-76.0;;;;;;;;;-72.0;-68.0;;;;-72.0;-66.0;-65.0;-82.0;;-81.0;-81.0;;;;;-71.0;;;;;
ac9bb59c-fa42-4535-aa89-c8b1584f5a6d;3.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-71.0;;;;;-88.0;;-87.0;;-77.0;-73.0;;;;-72.0;-65.0;-65.0;;-84.0;-74.0;-74.0;;;;;-74.0;;;;;
fd5a1d7d-5599-4dae-989e-aab652e92fba;27.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-74.0;;-61.0;;;-85.0;-93.0;-86.0;;;-69.0;;;;;;;-81.0;-79.0;-82.0;-85.0;;;;;-82.0;;;;;
3767aeaa-c9ca-4c74-bdbf-5558804f1520;28.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-85.0;;-73.0;;;;-86.0;-83.0;;;-87.0;;;;;-83.0;-82.0;-71.0;-71.0;-83.0;-86.0;;;;;;;;;;
fa3e0cce-88e3-45b1-ac6b-35d10503857a;19.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-55.0;;;;;-75.0;;-88.0;;;-74.0;;;;-78.0;;-77.0;-73.0;-73.0;-81.0;-81.0;;;;;-81.0;;-78.0;;;
7923471b-0966-4d70-a47b-9e4d68747007;20.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-59.0;;;;;-75.0;;-84.0;;-92.0;-77.0;;;;;;;-70.0;;;;;;;;-85.0;;-75.0;;;
84e1e387-c054-4311-9604-d20528ffbc95;24.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-66.0;;;;;-81.0;-84.0;-78.0;;;-75.0;;;;;;;-74.0;-82.0;;;;;;;;;-85.0;;;
d0f49b30-94e9-4f38-a9b8-51e8ff1b407c;9.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-67.0;;;;;-84.0;;;;-81.0;-69.0;;;;-67.0;-74.0;-74.0;-79.0;;-78.0;-78.0;;;;;-66.0;;;;;
a84031ab-0fc7-4ad0-b9d7-5ad566150df3;13.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-53.0;;;;;-82.0;;;;-81.0;-59.0;;;;-69.0;-74.0;-76.0;-74.0;-80.0;-75.0;-75.0;;;;;-75.0;;-74.0;;;
a3a1892d-7e9c-4440-be7c-d898fed4d626;29.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-92.0;;-75.0;;;-82.0;-84.0;-80.0;;;-75.0;;;;;;;-76.0;-78.0;-78.0;-77.0;;;;;;-76.0;;;;
e84be0ae-8c76-4b93-9994-cd08ec244afe;21.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-71.0;;-75.0;;;-87.0;-89.0;-86.0;;;-80.0;;;;-84.0;;;-76.0;-75.0;-83.0;-86.0;;;;;;;-78.0;;;
05ddd2de-2b7c-42b2-9e0b-883fa1e66dbe;7.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-70.0;;;;;-79.0;;;;-73.0;-59.0;-81.0;;;-68.0;-63.0;-63.0;-77.0;-79.0;-69.0;-72.0;;;;;-58.0;;;;;
0f40bfdb-005b-4def-afa1-98b2d2210953;22.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-83.0;;-72.0;;;-86.0;;-86.0;;;-86.0;;;;;;;-81.0;-80.0;-78.0;-95.0;;;;;;-83.0;-86.0;;;
3ddc482d-8207-4345-af64-a932c0042d70;25.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-66.0;;-65.0;;;-86.0;-82.0;-76.0;;;-83.0;;;;-82.0;;;-72.0;-71.0;;;;;;;;;-79.0;;;
616df46d-c4ad-4e4c-80f8-504278ef28cd;6.0;7.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-87.0;;;;;;;;;-72.0;-87.0;;;;-84.0;-60.0;-60.0;;;-80.0;-79.0;;;;;-68.0;;;;;
41191d15-7948-4823-9a8b-2fdf921cbee9;14.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-66.0;;;;;-78.0;;-85.0;;-81.0;-60.0;;;;;-73.0;-69.0;-75.0;-80.0;-81.0;-80.0;;;;;-79.0;;-77.0;;;
62798d86-9fef-4fbf-a49b-4b7beb4e7625;9.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-74.0;;;;;-92.0;;;-90.0;-85.0;-70.0;;;;-66.0;-70.0;-73.0;-83.0;-86.0;-79.0;-79.0;;;;;-77.0;;-86.0;;;
07adbc6d-9aec-4d4c-9b8c-2dff1bd71a4a;12.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-57.0;;;;;-78.0;;-86.0;;-84.0;-53.0;;;;-56.0;-76.0;-71.0;-75.0;;-67.0;-67.0;;;;;-76.0;;-76.0;;;
8ce46949-569d-4508-a197-40350f82b644;25.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-75.0;;-80.0;;;-88.0;;-79.0;;;-83.0;;;;;-81.0;;-84.0;-84.0;-89.0;-87.0;;;;;-85.0;;-75.0;;;
3c55da3c-fecf-4ce6-8a8f-23539d3d9e28;19.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-69.0;;-83.0;;;-80.0;;-83.0;;;-84.0;;;;-88.0;-81.0;;-86.0;-83.0;-88.0;-87.0;;;;;-83.0;;-88.0;;;
cccc47cf-44cf-432d-a592-d56a080e11c6;16.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-66.0;;;;;-87.0;;-92.0;;;-73.0;;;;-81.0;;;-80.0;-80.0;-86.0;-85.0;;;;;-92.0;-86.0;-82.0;;;
f3234a37-6a0b-4407-91ca-0ccceab640d8;15.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-58.0;;;;;-70.0;;-87.0;;-89.0;-67.0;;;;-70.0;-79.0;-76.0;-78.0;-72.0;-76.0;-76.0;;;;;-79.0;;-77.0;;;
15488753-853e-4719-9860-771e3b60027a;10.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-62.0;;-87.0;;;-80.0;;;;-79.0;-61.0;;;;-69.0;-70.0;-71.0;;-79.0;-71.0;-68.0;;;;;-78.0;;;;;
ccc9ccb3-5e1d-4dad-8744-8daaeb5faafb;5.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-69.0;;-85.0;;;-88.0;;-85.0;;-75.0;-62.0;;;;-72.0;-57.0;-59.0;-78.0;-77.0;-76.0;-78.0;;;;;-65.0;-85.0;;;;
fe11912d-955a-4694-a647-9a1abfb05996;1.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-70.0;;;;;-89.0;;;;-79.0;-69.0;-90.0;;;-71.0;-67.0;-67.0;-79.0;-80.0;-78.0;-79.0;;;;;-74.0;;;;;
9ef4b40b-dfd5-42c3-b1ea-c3d47bdfe850;13.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-62.0;;;;;-87.0;;;;-84.0;-70.0;;;;-66.0;-71.0;-72.0;;;-76.0;-75.0;;;;;-86.0;;-78.0;;;
685ef35a-0498-4599-b02a-ac481d677907;5.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-79.0;;;;;-88.0;;;;-77.0;-70.0;;;;-65.0;-68.0;-68.0;;;-76.0;-76.0;;;;;-64.0;;;;;
ff0d5090-46d0-4ad9-a0ff-fc23bc0a8087;2.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-76.0;;;;;;;;;-82.0;-80.0;;;;-81.0;-73.0;-72.0;-88.0;;-83.0;-83.0;;;;;-80.0;;;;;
21857dd3-6f37-4d83-ab2f-4fe517986853;21.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-56.0;;-84.0;;;-82.0;-85.0;-87.0;;;-67.0;;;;-82.0;;;-66.0;-67.0;-88.0;-89.0;;;;;-88.0;-81.0;-76.0;;;
0e21ffdb-9273-4dc8-9616-7e7822efdb9d;17.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-64.0;;;;;-85.0;;-83.0;;;-74.0;;;;;-76.0;;-92.0;-83.0;-76.0;-73.0;;;;;;;-83.0;;;
5f0224d5-c379-49e1-ac31-25fe80a5ca60;15.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-65.0;;;;;-73.0;;-85.0;;;-64.0;;;;-81.0;;;-74.0;-76.0;-84.0;-82.0;;;;;-85.0;;-72.0;;;
df97c713-cd1e-45ba-9781-6d6f0f5a571d;23.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-67.0;;-78.0;;;-83.0;;-80.0;;;;;;;;;;-68.0;-68.0;;;;;;;;;;;;
3fffa954-d7fd-48c3-b640-cde2101ed1b2;18.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-58.0;;;;;-68.0;;-84.0;;;-70.0;;;;;;;-73.0;-72.0;-81.0;-81.0;;;;;-86.0;;-73.0;;;
f8b8e7f9-d9aa-4d39-a62b-817e3edcdbb5;18.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-51.0;;-80.0;;;;;-84.0;;;-69.0;;;;-79.0;;;-69.0;-75.0;-76.0;-77.0;;;;;-82.0;;-77.0;;;
947e540b-7502-4c1f-9079-6f314f0427e0;7.0;7.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-71.0;;;;;-88.0;;;;-61.0;-78.0;;;;-78.0;-59.0;-59.0;;;-81.0;-81.0;;;;;-58.0;;;;;
3fe7846f-3ff5-4725-8959-c12229761534;14.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-70.0;;;;;-86.0;;;;-83.0;-79.0;;;;-84.0;-88.0;-74.0;-88.0;-84.0;-90.0;-68.0;;;;;-76.0;;-88.0;;;
1102525c-54b6-416d-942f-bd9117cdc91c;1.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-89.0;;;;;;;;;-89.0;-73.0;;;;-80.0;-75.0;-73.0;;;-88.0;-88.0;;;;;-84.0;;;;;
0dd9de08-b69a-4f3f-8ea6-44aced911026;4.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-90.0;;;;;-76.0;;-79.0;-75.0;-54.0;-54.0;;;-87.0;-87.0;-78.0;-78.0;;;-86.0;-85.0;;;;;-84.0;;;;;
a1328b35-9578-4f1b-bb74-9dc35c657e4c;21.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-80.0;;-85.0;;;-69.0;;-75.0;;-86.0;-60.0;;;-83.0;;;;-89.0;-92.0;;;;;;;;;-92.0;;;
c5524008-7ec4-401a-89bd-c41fcbf67d39;27.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-83.0;;;;;-62.0;;-61.0;;-82.0;-56.0;;;-77.0;;;;-77.0;-80.0;;;;;;;;;;;;
0fd55b27-cced-4248-9a8c-226bd60ef4d8;1.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-87.0;-93.0;;;;;-81.0;;-82.0;-67.0;-63.0;-64.0;;;-88.0;;-83.0;-83.0;;;-85.0;-85.0;;;;;-90.0;;;;;
be6a53fe-6a39-40dd-ae9b-f0338b51038e;15.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-71.0;;;;;-52.0;;-88.0;-83.0;-73.0;-43.0;;;;-86.0;;;;;;;;;;;;;;;;
18866089-1f29-41c7-836f-4e70fbc78291;10.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-88.0;;;;;-76.0;;-78.0;-73.0;-71.0;-42.0;;;;-87.0;-86.0;-86.0;;;-90.0;-91.0;;;;;-89.0;;;;;
47093497-cd82-44fb-bd95-eeb77080476a;14.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-86.0;-69.0;;;;;-63.0;;-77.0;-81.0;-73.0;-42.0;;;;-80.0;-85.0;-86.0;;;;;;;;;;;;;;
9acf30ba-591d-4ed6-834d-c0a94ace56c3;23.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-86.0;;-87.0;;;-63.0;;-70.0;;-88.0;-62.0;;;-91.0;;;;;;;;;;;;;;;;;
6f6fabb4-49a4-4358-8a88-d4d678e8cc1b;12.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-80.0;;;;;-65.0;;-73.0;-78.0;-69.0;-45.0;;;-88.0;-82.0;-88.0;-91.0;;;-87.0;-87.0;;;;;;;;;;
bd165fc8-5e5c-4c3a-81e2-f62f40c1fef4;5.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-87.0;;;;;-76.0;;-80.0;-76.0;-50.0;-50.0;;;;-83.0;-76.0;-77.0;;;-86.0;-85.0;;;;;-77.0;;;;;
f638d532-d5f4-4366-a639-1701f7a8c5c5;13.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-78.0;;-92.0;;;-61.0;;-76.0;-76.0;-64.0;-48.0;;;;-84.0;-86.0;-85.0;;;;-88.0;;;;;;;;;;
71c0cd5b-2035-4998-842e-2bce03b4f27f;17.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-82.0;;-75.0;;;-67.0;-83.0;-85.0;-88.0;-76.0;-59.0;;;-76.0;;;;-88.0;-86.0;;;;;;;;;;;;
ffca7cfa-a13e-473a-9121-b1f5646a7dbc;25.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-85.0;;-72.0;;;-69.0;;-59.0;;-78.0;-62.0;;;-82.0;;;;-83.0;-82.0;;;;;;;;;;;;
1c446db0-eb05-4b27-93dc-053ce5115f54;20.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-83.0;-90.0;;;;;-76.0;-94.0;-89.0;;-83.0;-58.0;;;-80.0;;;;-78.0;-79.0;;;;;;;;-89.0;;;;
c59ef59c-1ff4-4ca2-8be1-81cc0707ca9f;26.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-93.0;;-93.0;;;-78.0;;-69.0;-90.0;-87.0;-72.0;;;-93.0;;;;-89.0;-90.0;;;;;;;;;;;;
ca5f4ce9-bb97-4957-84ae-e64c6c56fb50;11.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-85.0;-82.0;;;;;-73.0;;-88.0;;-65.0;-42.0;;;-81.0;;-86.0;-86.0;;;-89.0;-93.0;;;;;-93.0;;;;;
e2aec374-0f4a-4d58-9921-eaa89a87f6f6;2.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;;;;;;-84.0;;-90.0;-73.0;-71.0;-71.0;;;-86.0;-86.0;-92.0;-90.0;;;;;;;;;;;;;;
070e1a68-f7db-4aec-977b-b1de74f6dee3;11.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-84.0;-83.0;;;;;-68.0;;-75.0;-68.0;-63.0;-38.0;;;-86.0;-82.0;;-85.0;;;-84.0;-85.0;;;;;;;;;;
501accac-e82f-4695-8285-00641765fc12;3.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;;;;;;-80.0;;-88.0;-74.0;-61.0;-65.0;;;;;-82.0;-83.0;;;-92.0;-92.0;;;;;;;;;;
1627cc7c-456f-4777-b59b-c0d3eaa13bfa;10.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-84.0;;;;;-70.0;;-74.0;-67.0;-60.0;-40.0;;;-85.0;-85.0;-83.0;-84.0;;;-82.0;-81.0;;;;;-85.0;;;;;
83d082c9-377f-48d5-a0a3-9c6c332c3b6c;24.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;;;;;;-79.0;;-83.0;;-88.0;-67.0;;;;;;;;;;;;;;;;;;;;
55696b11-bd34-4aaa-ab1f-3e47e05d8812;11.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-93.0;;;;;-67.0;;-82.0;-66.0;-69.0;-47.0;;;;-88.0;;;;;-86.0;-85.0;;;;;-92.0;;;;;
ce6bf5fc-9202-4a79-aec9-b62af693c578;27.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-73.0;-85.0;;-73.0;;;-63.0;-89.0;-57.0;-80.0;-79.0;-64.0;;;-72.0;;;;-82.0;-84.0;-95.0;-93.0;;;;;;-88.0;;;;
20e2e3bc-77ec-420c-8448-c890a4a4f925;19.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-85.0;;;;;-70.0;;-84.0;;-81.0;-64.0;;;;;;;;;;;;;;;;;;;;
e1b34334-b687-4c94-b4ab-f6371315174f;29.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-82.0;-89.0;;-86.0;;;-68.0;;-55.0;-81.0;-79.0;-66.0;;;-81.0;;;;-77.0;-78.0;-92.0;-89.0;;;;;;;;;;
06a70d81-4a7b-4074-8a88-a3ab56ecd72b;7.0;7.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-90.0;;;;;-83.0;;-89.0;-82.0;-52.0;-60.0;;;-92.0;;-77.0;-77.0;;;;;;;;;-82.0;;;;;
262bf19d-c56b-40eb-8c89-f0cc86b33e71;7.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-87.0;-89.0;;;;;-73.0;;-83.0;-64.0;-50.0;-44.0;;;-87.0;-77.0;-81.0;-81.0;;;-87.0;-88.0;;;;;-80.0;;;;;
6c852c19-c621-4f71-8c98-847f1ad35383;28.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;;;;;;-88.0;;-65.0;;-87.0;-68.0;;;;;;;-84.0;-84.0;;;;;;;;;;;;
17054ecf-8f3c-47a7-9735-ae6b41553b0a;17.0;8.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;-88.0;-76.0;;;;;-64.0;;-77.0;;-73.0;-52.0;;;;-91.0;;;;;;;;;;;;;;;;
03b7575d-b872-4205-9f68-4c1b1436395d;4.0;9.0;7.6;14fc835a-ee28-4b78-9c59-9ee0f759ce56;2nd Floor East Corridor;;-92.0;;;;;-79.0;;-77.0;-70.0;-55.0;-60.0;;;;-86.0;-82.0;-83.0;;;-82.0;;;;;;;;;;;
