"measId";"measTimestamp";"Position X";" Position Y";"Position Z";"zoneId";"Zonename";"meas X";"meas Y";"meas Z";"gpsLatitude";"gpsLongitude";"gpsAltitude";"N";"109.0";"AIT-L15";"aut-sams-1";"bolyai_E4_floor3";"Bosch_Telemetry";"dd";"doa2";"doa200";"doa203";"doa207";"doa208";"doa6";"EET_3";"FRM";"GEIAKFSZ";"IITAP1";"IITAP1-GUEST";"IITAP2";"IITAP2-GUEST";"IITAP3";"IITAP3-GUEST";"info";"info2";"KEMA10";"kemA4";"KRZ";"library114";"TP-LINK_B2765A";"UPC Wi-Free";"UPC8902044";"wireless";"00:16:53:4C:B1:F9";"00:16:53:4C:B2:02";"00:16:53:4C:B4:EB";"00:16:53:4C:E9:1D";"00:16:53:4C:F2:6A";"00:16:53:4C:F5:2D";"00:16:53:4C:F9:A4";"00:16:53:4C:FA:60";"00:16:53:4C:FA:67";"48:5A:B6:54:35:DC";"6B:C2:26:12:62:60";"DANI 6B:C2:26:12:62:60";"DM06082 48:5A:B6:54:35:DC";"EV3 00:16:53:4C:E9:1D";"EV3 00:16:53:4C:F2:6A";"EV3 00:16:53:4C:FA:60";"EV3 00:16:53:4C:FA:67";"EV3BD 00:16:53:4C:F5:2D";"IZE 00:16:53:4C:B1:F9";"JOE 00:16:53:4C:F9:A4";"MEGAROBOT 00:16:53:4C:B2:02";"MrEv3 00:16:53:4C:B4:EB"
"4eccd58d-7b47-4058-8dc4-2fa4ba453fc3";"2016-02-27 16:54:06.0";27.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-0.06425734609365463";"-0.8826618790626526";"-0.04345089569687843";"null";"null";"null";"null";"-71";"null";"null";"null";"null";"null";"null";"-74";"null";"null";"null";"null";"null";"null";"null";"null";"null";"-67";"-68";"-88";"-86";"null";"null";"null";"null";"null";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"c7a49f3b-d3e8-42a3-abf0-81f1caa6b9cc";"2016-02-27 16:36:06.0";3.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.7235743403434753";"-0.9810186624526978";"0.25168997049331665";"null";"null";"null";"null";"-74";"null";"null";"null";"null";"null";"null";"null";"null";"-73";"-71";"null";"null";"null";"-72";"-65";"-66";"-84";"null";"-79";"-79";"null";"null";"null";"null";"-68";"null";"null";"null";"null";"null";0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"4e9a3b83-9005-4a63-bf47-c33aacd19e77";"2016-02-27 16:41:30.0";10.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.23464924097061157";"-0.7011246085166931";"0.12697279453277588";"null";"null";"null";"null";"-87";"null";"null";"null";"null";"-88";"null";"null";"null";"-87";"-70";"null";"null";"null";"-75";"-78";"-78";"null";"null";"-80";"-79";"null";"null";"null";"null";"-85";"null";"-90";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0
"e6bd6853-e137-4478-aac4-ec26681d5365";"2016-02-27 16:50:44.0";22.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"2.2964653968811035";"-1.2231783866882324";"-0.1882215142250061";"null";"null";"null";"null";"-60";"null";"-70";"null";"null";"-84";"-88";"-82";"null";"null";"-70";"null";"null";"null";"null";"null";"null";"-74";"-79";"-82";"-83";"null";"null";"null";"null";"-91";"null";"-77";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"2eb17c13-f39f-440c-a2af-21f5d01f1d27";"2016-02-27 16:35:07.0";2.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-0.9135979413986206";"-0.9734194874763489";"0.055498506873846054";"null";"null";"null";"null";"-75";"null";"null";"null";"null";"null";"null";"null";"null";"-80";"-70";"null";"null";"null";"-69";"-66";"-65";"null";"-79";"-80";"-81";"null";"null";"null";"null";"-72";"-88";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"c66a3638-cadd-44b8-b516-9a420302da1d";"2016-02-27 16:37:23.0";4.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.7900471687316895";"-0.7811806201934814";"0.12970255315303802";"null";"null";"null";"null";"-75";"null";"null";"null";"null";"-86";"null";"-86";"-89";"-81";"-82";"null";"null";"null";"-78";"-74";"-73";"-87";"-75";"-80";"-85";"null";"null";"null";"null";"-77";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
"bbbb7ad1-2a93-41ec-a124-d347db61f44c";"2016-02-27 16:52:41.0";26.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.307562917470932";"-0.6349532604217529";"-0.01754206046462059";"null";"null";"null";"null";"-77";"null";"-65";"null";"null";"-80";"null";"-83";"null";"null";"-78";"null";"null";"null";"-85";"-78";"-89";"-77";"-78";"null";"null";"null";"null";"null";"null";"-81";"null";"-85";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"4cd96d0b-7fc0-4cbd-9d63-cb707c63e417";"2016-02-27 16:36:47.0";4.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.6324738264083862";"-0.9725844860076904";"0.1607627421617508";"null";"null";"null";"null";"-76";"null";"null";"null";"null";"null";"null";"null";"null";"-72";"-68";"null";"null";"null";"-72";"-66";"-65";"-82";"null";"-81";"-81";"null";"null";"null";"null";"-71";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ac9bb59c-fa42-4535-aa89-c8b1584f5a6d";"2016-02-27 16:36:43.0";3.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"1.0499274730682373";"-0.9191128611564636";"0.09725319594144821";"null";"null";"null";"null";"-71";"null";"null";"null";"null";"-88";"null";"-87";"null";"-77";"-73";"null";"null";"null";"-72";"-65";"-65";"null";"-84";"-74";"-74";"null";"null";"null";"null";"-74";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
"fd5a1d7d-5599-4dae-989e-aab652e92fba";"2016-02-27 16:53:29.0";27.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.7001621723175049";"-0.6613690257072449";"0.3883186876773834";"null";"null";"null";"null";"-74";"null";"-61";"null";"null";"-85";"-93";"-86";"null";"null";"-69";"null";"null";"null";"null";"null";"null";"-81";"-79";"-82";"-85";"null";"null";"null";"null";"-82";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"3767aeaa-c9ca-4c74-bdbf-5558804f1520";"2016-02-27 16:54:12.0";28.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.7363917827606201";"-0.7747637629508972";"-0.020830320194363594";"null";"null";"null";"null";"-85";"null";"-73";"null";"null";"null";"-86";"-83";"null";"null";"-87";"null";"null";"null";"null";"-83";"-82";"-71";"-71";"-83";"-86";"null";"null";"null";"null";"null";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"fa3e0cce-88e3-45b1-ac6b-35d10503857a";"2016-02-27 16:47:49.0";19.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.6822126507759094";"-0.9822708964347839";"0.04758310317993164";"null";"null";"null";"null";"-55";"null";"null";"null";"null";"-75";"null";"-88";"null";"null";"-74";"null";"null";"null";"-78";"null";"-77";"-73";"-73";"-81";"-81";"null";"null";"null";"null";"-81";"null";"-78";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"7923471b-0966-4d70-a47b-9e4d68747007";"2016-02-27 16:48:36.0";20.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.37450361251831055";"-0.7475978136062622";"-0.018179813399910927";"null";"null";"null";"null";"-59";"null";"null";"null";"null";"-75";"null";"-84";"null";"-92";"-77";"null";"null";"null";"null";"null";"null";"-70";"null";"null";"null";"null";"null";"null";"null";"-85";"null";"-75";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"84e1e387-c054-4311-9604-d20528ffbc95";"2016-02-27 16:51:59.0";24.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.9039272665977478";"-1.1267073154449463";"0.0713074654340744";"null";"null";"null";"null";"-66";"null";"null";"null";"null";"-81";"-84";"-78";"null";"null";"-75";"null";"null";"null";"null";"null";"null";"-74";"-82";"null";"null";"null";"null";"null";"null";"null";"null";"-85";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"d0f49b30-94e9-4f38-a9b8-51e8ff1b407c";"2016-02-27 16:41:16.0";9.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.6531345248222351";"-0.8793701529502869";"0.18534794449806213";"null";"null";"null";"null";"-67";"null";"null";"null";"null";"-84";"null";"null";"null";"-81";"-69";"null";"null";"null";"-67";"-74";"-74";"-79";"null";"-78";"-78";"null";"null";"null";"null";"-66";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"a84031ab-0fc7-4ad0-b9d7-5ad566150df3";"2016-02-27 16:43:11.0";13.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"1.0651659965515137";"-0.9003967046737671";"0.244978666305542";"null";"null";"null";"null";"-53";"null";"null";"null";"null";"-82";"null";"null";"null";"-81";"-59";"null";"null";"null";"-69";"-74";"-76";"-74";"-80";"-75";"-75";"null";"null";"null";"null";"-75";"null";"-74";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
"a3a1892d-7e9c-4440-be7c-d898fed4d626";"2016-02-27 16:55:02.0";29.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.18899844586849213";"-0.4192551374435425";"-0.04612111672759056";"null";"null";"null";"null";"-92";"null";"-75";"null";"null";"-82";"-84";"-80";"null";"null";"-75";"null";"null";"null";"null";"null";"null";"-76";"-78";"-78";"-77";"null";"null";"null";"null";"null";"-76";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"e84be0ae-8c76-4b93-9994-cd08ec244afe";"2016-02-27 16:48:42.0";21.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.783052384853363";"-0.7745327353477478";"0.021273385733366013";"null";"null";"null";"null";"-71";"null";"-75";"null";"null";"-87";"-89";"-86";"null";"null";"-80";"null";"null";"null";"-84";"null";"null";"-76";"-75";"-83";"-86";"null";"null";"null";"null";"null";"null";"-78";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"05ddd2de-2b7c-42b2-9e0b-883fa1e66dbe";"2016-02-27 16:39:04.0";7.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-0.8688464760780334";"-0.9382554888725281";"0.04874185100197792";"null";"null";"null";"null";"-70";"null";"null";"null";"null";"-79";"null";"null";"null";"-73";"-59";"-81";"null";"null";"-68";"-63";"-63";"-77";"-79";"-69";"-72";"null";"null";"null";"null";"-58";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"0f40bfdb-005b-4def-afa1-98b2d2210953";"2016-02-27 16:50:06.0";22.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.9574040174484253";"-0.6802167892456055";"0.20846523344516754";"null";"null";"null";"null";"-83";"null";"-72";"null";"null";"-86";"null";"-86";"null";"null";"-86";"null";"null";"null";"null";"null";"null";"-81";"-80";"-78";"-95";"null";"null";"null";"null";"null";"-83";"-86";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"3ddc482d-8207-4345-af64-a932c0042d70";"2016-02-27 16:52:38.0";25.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.07738733291625977";"-1.1191630363464355";"0.244978666305542";"null";"null";"null";"null";"-66";"null";"-65";"null";"null";"-86";"-82";"-76";"null";"null";"-83";"null";"null";"null";"-82";"null";"null";"-72";"-71";"null";"null";"null";"null";"null";"null";"null";"null";"-79";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"616df46d-c4ad-4e4c-80f8-504278ef28cd";"2016-02-27 16:58:20.0";6.0;7.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.19965261220932007";"-0.3923969566822052";"0.11614163964986801";"null";"null";"null";"null";"-87";"null";"null";"null";"null";"null";"null";"null";"null";"-72";"-87";"null";"null";"null";"-84";"-60";"-60";"null";"null";"-80";"-79";"null";"null";"null";"null";"-68";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0
